,GEOID,Median Income
713,15000US060014372002,160179.0
714,15000US060014372003,84444.0
715,15000US060014372004,84909.0
716,15000US060014373001,84338.0
717,15000US060014373002,46591.0
718,15000US060014373003,86250.0
719,15000US060014374001,87857.0
720,15000US060014374002,66625.0
721,15000US060014375001,51806.0
722,15000US060014375002,55217.0
723,15000US060014376001,56536.0
724,15000US060014376002,98958.0
725,15000US060014377011,
726,15000US060014377012,58571.0
727,15000US060014377013,36625.0
728,15000US060014377021,42113.0
729,15000US060014377022,57650.0
730,15000US060014378001,80242.0
731,15000US060014378002,73917.0
732,15000US060014379001,73750.0
733,15000US060014379002,58750.0
734,15000US060014380001,85703.0
735,15000US060014380002,62548.0
736,15000US060014381001,130682.0
737,15000US060014381002,115089.0
738,15000US060014381003,
739,15000US060014381004,128456.0
740,15000US060014381005,95250.0
741,15000US060014381006,77440.0
742,15000US060014382011,64449.0
743,15000US060014382012,60938.0
744,15000US060014382013,86688.0
745,15000US060014382031,61528.0
746,15000US060014382032,64830.0
747,15000US060014382041,61319.0
748,15000US060014382042,52632.0
749,15000US060014382043,66389.0
750,15000US060014383001,60144.0
751,15000US060014383002,64231.0
752,15000US060014383003,77305.0
753,15000US060014384001,66581.0
754,15000US060014384002,82500.0
755,15000US060014401001,67500.0
756,15000US060014402001,74583.0
757,15000US060014402002,57262.0
758,15000US060014402003,69250.0
759,15000US060014402004,54844.0
760,15000US060014403011,48839.0
761,15000US060014403012,72386.0
762,15000US060014403013,130139.0
763,15000US060014403014,99034.0
764,15000US060014403041,72961.0
765,15000US060014403042,83246.0
766,15000US060014403043,111071.0
767,15000US060014403051,101250.0
768,15000US060014403052,113456.0
769,15000US060014403053,113409.0
770,15000US060014403061,77279.0
771,15000US060014403062,80924.0
772,15000US060014403071,40804.0
773,15000US060014403072,103882.0
774,15000US060014403073,85156.0
775,15000US060014403081,86379.0
776,15000US060014403082,78750.0
777,15000US060014403083,82426.0
778,15000US060014403084,56964.0
779,15000US060014403311,91250.0
780,15000US060014403312,51691.0
781,15000US060014403321,158487.0
782,15000US060014403322,164583.0
783,15000US060014403331,158313.0
784,15000US060014403332,108424.0
785,15000US060014403341,114347.0
786,15000US060014403342,109891.0
787,15000US060014403351,183984.0
788,15000US060014403352,90838.0
789,15000US060014403361,69531.0
790,15000US060014403362,81071.0
791,15000US060014411001,80114.0
792,15000US060014411002,89167.0
793,15000US060014412001,70333.0
794,15000US060014412002,112833.0
795,15000US060014412003,152348.0
796,15000US060014413011,183750.0
797,15000US060014413012,115921.0
798,15000US060014413021,131607.0
799,15000US060014413022,79417.0
800,15000US060014413023,98393.0
801,15000US060014413024,116071.0
802,15000US060014414011,100692.0
803,15000US060014414012,108654.0
804,15000US060014414013,129667.0
805,15000US060014414014,121513.0
806,15000US060014414021,132064.0
807,15000US060014414022,109934.0
808,15000US060014414023,136250.0
809,15000US060014415011,150917.0
810,15000US060014415012,122873.0
811,15000US060014415031,140536.0
812,15000US060014415032,176094.0
813,15000US060014415211,146875.0
814,15000US060014415212,161563.0
815,15000US060014415213,111250.0
816,15000US060014415214,64141.0
817,15000US060014415221,161429.0
818,15000US060014415222,83500.0
