,Median Income
1323,57446.0
1324,56473.0
1325,79375.0
1326,89191.0
1327,83480.0
1328,59519.0
1329,85257.0
1330,85810.0
1331,96159.0
1332,100625.0
1333,109766.0
1334,67455.0
1335,118887.0
1336,141953.0
1337,135756.0
1338,62212.0
1339,65179.0
1340,64375.0
1341,60865.0
1342,100517.0
1343,74028.0
1344,82581.0
1345,139097.0
1346,46476.0
1347,73470.0
1348,116913.0
1349,109342.0
1350,109150.0
1351,29712.0
1352,62109.0
1353,96719.0
1354,49940.0
1355,126078.0
1356,114306.0
1357,57813.0
1358,85777.0
1359,96125.0
1360,112589.0
1361,106927.0
1362,105156.0
1363,110116.0
1364,121510.0
1365,33750.0
1366,50082.0
1367,73375.0
1368,48565.0
1369,
1370,71900.0
1371,65385.0
1372,43295.0
1373,55783.0
1374,47688.0
1375,58750.0
1376,76250.0
1377,58226.0
1378,69167.0
1379,105202.0
1380,51250.0
1381,26423.0
1382,32893.0
1383,51736.0
1384,56117.0
1385,26447.0
1386,30250.0
1387,16711.0
1388,31000.0
1389,57054.0
1390,51417.0
1391,56250.0
1392,25239.0
1393,37098.0
1394,72500.0
1395,64250.0
1396,45417.0
1397,84330.0
1398,48405.0
1399,69083.0
1400,101442.0
1401,77396.0
1402,59978.0
1403,76250.0
1404,43917.0
1405,46603.0
1406,53954.0
1407,42143.0
1408,40156.0
1409,57176.0
1410,33693.0
1411,66898.0
1412,29286.0
1413,23688.0
1414,48864.0
1415,60804.0
1416,81181.0
1417,89567.0
1418,98365.0
1419,64123.0
1420,80057.0
1421,61375.0
1422,86875.0
1423,47782.0
1424,101474.0
1425,60250.0
1426,85069.0
1427,59309.0
1428,31974.0
1429,80438.0
1430,64120.0
1431,64904.0
1432,47339.0
1433,39349.0
1434,54710.0
1435,34609.0
1436,45696.0
1437,37083.0
1438,55556.0
1439,36964.0
1440,42625.0
1441,54667.0
1442,65099.0
1443,51607.0
1444,84265.0
1445,36563.0
1446,80200.0
1447,67708.0
1448,62667.0
1449,94545.0
1450,66688.0
1451,114679.0
1452,70121.0
1453,77287.0
1454,
1455,74324.0
1456,76491.0
1457,59875.0
1458,84750.0
1459,112161.0
1460,97292.0
1461,59306.0
1462,114915.0
1463,108750.0
1464,73075.0
1465,63646.0
1466,105898.0
1467,125924.0
1468,124375.0
1469,103750.0
1470,91518.0
1471,106071.0
1472,112222.0
1473,114155.0
1474,70380.0
1475,65778.0
1476,56250.0
1477,93449.0
1478,79906.0
1479,103571.0
1480,124167.0
1481,128984.0
1482,110417.0
1483,144028.0
1484,76641.0
1485,69485.0
1486,
1487,63672.0
1488,90238.0
1489,123833.0
1490,87500.0
1491,
1492,89830.0
1493,78351.0
1494,50203.0
1495,106949.0
1496,127212.0
1497,113828.0
1498,109063.0
1499,115789.0
1500,50347.0
1501,70703.0
1502,91653.0
1503,74610.0
1504,40259.0
1505,17545.0
1506,35000.0
1507,92165.0
1508,99658.0
1509,74896.0
1510,62500.0
1511,77880.0
1512,76875.0
1513,69605.0
1514,65888.0
1515,49967.0
1516,65813.0
1517,53285.0
1518,65938.0
1519,85400.0
1520,76000.0
1521,102072.0
1522,112000.0
1523,73217.0
1524,127063.0
1525,134537.0
1526,58811.0
1527,38654.0
1528,80341.0
1529,77813.0
1530,83688.0
1531,113482.0
1532,93533.0
1533,76576.0
1534,93194.0
1535,105720.0
1536,95357.0
1537,69031.0
1538,53125.0
1539,62727.0
1540,87917.0
1541,60288.0
1542,103681.0
1543,45213.0
1544,101250.0
1545,105667.0
1546,119583.0
1547,128098.0
1548,167634.0
1549,
1550,119375.0
1551,248403.0
1552,83839.0
1553,75417.0
1554,75208.0
1555,64188.0
1556,47188.0
1557,58177.0
1558,45781.0
1559,32262.0
1560,37844.0
1561,35188.0
1562,47414.0
1563,52038.0
1564,76719.0
1565,44688.0
1566,47405.0
1567,36442.0
1568,35333.0
1569,107802.0
1570,87225.0
1571,
1572,54973.0
1573,54427.0
1574,90579.0
1575,84940.0
1576,74967.0
1577,191923.0
1578,92386.0
1579,64762.0
1580,121146.0
1581,136833.0
1582,147337.0
1583,79250.0
1584,97344.0
1585,39386.0
1586,84063.0
1587,95313.0
1588,125469.0
1589,104535.0
1590,90096.0
1591,100101.0
1592,89861.0
1593,149688.0
1594,74787.0
1595,89063.0
1596,93409.0
1597,145982.0
1598,163594.0
1599,90568.0
1600,171635.0
1601,176848.0
1602,133125.0
1603,78590.0
1604,60688.0
1605,67000.0
1606,55677.0
1607,65053.0
1608,107250.0
1609,139130.0
1610,77411.0
1611,62083.0
1612,49844.0
1613,81149.0
1614,127857.0
1615,117446.0
1616,201484.0
1617,159792.0
1618,104697.0
1619,101691.0
1620,167569.0
1621,100000.0
1622,133889.0
